archivo_pdf,resultado_xref
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE NORMAL SUPERIOR M.E.C./E14_PRE_60_001_002_00_02_019_6949_Mesa_19.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE NORMAL SUPERIOR M.E.C./E14_PRE_60_001_002_00_02_005_6949_Mesa_5.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE NORMAL SUPERIOR M.E.C./E14_PRE_60_001_002_00_02_024_6949_Mesa_24.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE SAGRADO CORAZON DE JESUS/E14_PRE_60_001_002_00_03_012_6948_Mesa_12.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE NORMAL SUPERIOR M.E.C./E14_PRE_60_001_002_00_02_025_6949_Mesa_25.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE NORMAL SUPERIOR M.E.C./E14_PRE_60_001_002_00_02_004_6949_Mesa_4.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE NORMAL SUPERIOR M.E.C./E14_PRE_60_001_002_00_02_009_6949_Mesa_9.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE SAGRADO CORAZON DE JESUS/E14_PRE_60_001_002_00_03_013_6948_Mesa_13.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE SAGRADO CORAZON DE JESUS/E14_PRE_60_001_002_00_03_011_6948_Mesa_11.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE SAGRADO CORAZON DE JESUS/E14_PRE_60_001_002_00_03_014_6948_Mesa_14.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE NORMAL SUPERIOR M.E.C./E14_PRE_60_001_002_00_02_006_6949_Mesa_6.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE SAGRADO CORAZON DE JESUS/E14_PRE_60_001_002_00_03_017_6948_Mesa_17.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE NORMAL SUPERIOR M.E.C./E14_PRE_60_001_002_00_02_026_6949_Mesa_26.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE NORMAL SUPERIOR M.E.C./E14_PRE_60_001_002_00_02_001_6949_Mesa_1.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE NORMAL SUPERIOR M.E.C./E14_PRE_60_001_002_00_02_010_6949_Mesa_10.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE NORMAL SUPERIOR M.E.C./E14_PRE_60_001_002_00_02_002_6949_Mesa_2.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE NORMAL SUPERIOR M.E.C./E14_PRE_60_001_002_00_02_007_6949_Mesa_7.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE SAGRADO CORAZON DE JESUS/E14_PRE_60_001_002_00_03_015_6948_Mesa_15.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE SAGRADO CORAZON DE JESUS/E14_PRE_60_001_002_00_03_016_6948_Mesa_16.pdf",CORRUPTO
