Departamento,Cod_Dep,Cod_Mun,Mesa,Archivo,Blanco_Puro_Pct,Diagnostico
ANTIOQUIA,01,247,2,E14_PRE_01_247_001_00_01_002_5251_Mesa_2.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,151,44,E14_PRE_01_151_002_01_01_044_5193_Mesa_44.pdf,0.03,🟢 ESCANEO REAL
ANTIOQUIA,01,115,10,E14_PRE_01_115_000_00_00_010_2044_Mesa_10.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,035,3,E14_PRE_01_035_001_01_03_003_5109_Mesa_3.pdf,0.01,🟢 ESCANEO REAL
ANTIOQUIA,01,205,1,E14_PRE_01_205_001_00_02_001_5227_Mesa_1.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,211,8,E14_PRE_01_211_000_00_02_008_5231_Mesa_8.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,001,11,E14_PRE_01_001_007_04_04_011_5077_Mesa_11.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,256,5,E14_PRE_01_256_001_00_01_005_5255_Mesa_5.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,295,2,E14_PRE_01_295_002_00_01_002_5272_Mesa_2.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,151,16,E14_PRE_01_151_004_03_02_016_5197_Mesa_16.pdf,0.04,🟢 ESCANEO REAL
ANTIOQUIA,01,178,4,E14_PRE_01_178_002_00_02_004_5220_Mesa_4.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,172,10,E14_PRE_01_172_000_00_00_010_2068_Mesa_10.pdf,1.12,🔴 DEEPFAKE SINTÉTICO
ANTIOQUIA,01,103,4,E14_PRE_01_103_001_00_02_004_5159_Mesa_4.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,121,14,E14_PRE_01_121_007_00_02_014_5181_Mesa_14.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,151,9,E14_PRE_01_151_090_00_02_009_5204_Mesa_9.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,049,13,E14_PRE_01_049_010_10_02_013_5137_Mesa_13.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,166,11,E14_PRE_01_166_002_00_01_011_5214_Mesa_11.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,080,15,E14_PRE_01_080_001_00_01_015_5147_Mesa_15.pdf,0.02,🟢 ESCANEO REAL
ANTIOQUIA,01,001,45,E14_PRE_01_001_027_14_01_045_5073_Mesa_45.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,062,1,E14_PRE_01_062_099_00_50_001_2024_Mesa_1.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,112,42,E14_PRE_01_112_000_00_00_042_2043_Mesa_42.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,214,18,E14_PRE_01_214_003_02_01_018_5236_Mesa_18.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,001,16,E14_PRE_01_001_019_10_01_016_5089_Mesa_16.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,001,16,E14_PRE_01_001_028_14_01_016_5070_Mesa_16.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,192,8,E14_PRE_01_192_099_00_10_008_5224_Mesa_8.pdf,0.0,🟢 ESCANEO REAL
